group,Chile ⭐
ext,CL: 13 HD,http://streamgo.vip:8008/DOCA20/DOCA2020/28219
ext,CL: 13 SD,http://streamgo.vip:8008/DOCA20/DOCA2020/28220
ext,CL: Canal 24 Horas,http://streamgo.vip:8008/DOCA20/DOCA2020/28223
ext,CL: CDO,http://streamgo.vip:8008/DOCA20/DOCA2020/28230
ext,CL: CDO Premium,http://streamgo.vip:8008/DOCA20/DOCA2020/28232
ext,CL: Chilevision HD,http://streamgo.vip:8008/DOCA20/DOCA2020/28233
ext,CL: Chilevision SD,http://streamgo.vip:8008/DOCA20/DOCA2020/28234
ext,CL: Etc TV,http://streamgo.vip:8008/DOCA20/DOCA2020/28237
ext,CL: La Red HD,http://streamgo.vip:8008/DOCA20/DOCA2020/28240
ext,CL: La Red SD,http://streamgo.vip:8008/DOCA20/DOCA2020/28241
ext,CL: Mega FHD,http://streamgo.vip:8008/DOCA20/DOCA2020/28242
ext,CL: Mega HD,http://streamgo.vip:8008/DOCA20/DOCA2020/28243
ext,CL: Mega SD,http://streamgo.vip:8008/DOCA20/DOCA2020/28244
ext,CL: Rec TV,http://streamgo.vip:8008/DOCA20/DOCA2020/28245
ext,CL: Teletrak HD,http://streamgo.vip:8008/DOCA20/DOCA2020/28246
ext,CL: TVN HD,http://streamgo.vip:8008/DOCA20/DOCA2020/28250
ext,CL: TVN SD,http://streamgo.vip:8008/DOCA20/DOCA2020/28251
CNNChile.cl,CNN Chile,http://streamgo.vip:8008/DOCA20/DOCA2020/58287
ext,CL: TV +,http://streamgo.vip:8008/DOCA20/DOCA2020/28249
ext,CL: 13 Entretencion,http://streamgo.vip:8008/DOCA20/DOCA2020/131472
ext,CL: 13 Prime,http://streamgo.vip:8008/DOCA20/DOCA2020/131473
ext,CL: 13 Teleseries,http://streamgo.vip:8008/DOCA20/DOCA2020/131474
ext,CL: Camara de diputados,http://streamgo.vip:8008/DOCA20/DOCA2020/131475










group,Deporte Ecuador ⚽
ext,EC | CANAL DEL FUTBOL HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104110
ext,EC | CANAL DEL FUTBOL SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104111
ext,EC | GOL TV HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104112
ext,EC | GOL TV HD 2,http://streamgo.vip:8008/DOCA20/DOCA2020/104113
ext,EC | GOL TV SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104114

group,Argentina ⭐
ext,AR | FOX SPORTS 1 HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104389
ext,AR | FOX SPORTS 1 SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104390
ext,AR | FOX SPORTS 2 HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104391
ext,AR | FOX SPORTS 2 SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104392
ext,AR | FOX SPORTS 3 HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104393
ext,AR | FOX SPORTS 3 SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104394
ext,AR | EVENTOS 1,http://streamgo.vip:8008/DOCA20/DOCA2020/104395
ext,AR | EVENTOS 2,http://streamgo.vip:8008/DOCA20/DOCA2020/104396
ext,AR | TNT SPORTS HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104397
ext,AR | TNT SPORTS SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104398
ext,AR | TYC SPORTS HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104399
ext,AR  | TYC SPORTS SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104400
ext,AR | Fox Sports Premium HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104401
ext,AR | Fox Sports Premium SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104402
ext,AR | ESPN 1 HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104403
ext,AR | ESPN 1 SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104404
ext,AR  | ESPN 2 HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104405
ext,AR | ESPN 2 SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104406
ext,AR | DEPOR TV HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104407
ext,AR | DEPOR TV SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104408
ext,AR | TV PUBLICA FHD,http://streamgo.vip:8008/DOCA20/DOCA2020/104409
ext,AR | TV PUBLICA HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104410
ext,AR | TV PUBLICA SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104411
ext,AR | CANAL 13 HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104412
ext,AR | CANAL 13 SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104413
ext,AR | EL NUEVE FHD,http://streamgo.vip:8008/DOCA20/DOCA2020/104414
ext,AR | EL NUEVE HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104415
ext,AR | EL NUEVE SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104416
ext,AR | C5N FHD,http://streamgo.vip:8008/DOCA20/DOCA2020/104417
ext,AR | C5N HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104418
ext,AR | C5N SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104419
ext,AR | AMERICA TV HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104420
ext,AR | Pakapaka HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104421
ext,AR | PAKAPAKA  SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104422
ext,AR | Telefe HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104423
ext,AR | Telemax HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104424
ext,AR | Telemax sd,http://streamgo.vip:8008/DOCA20/DOCA2020/104425
ext,AR | A24 HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104426
ext,AR | A24 sd,http://streamgo.vip:8008/DOCA20/DOCA2020/104427
ext,AR | CRONICA HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104428
ext,AR | ENCUENTRO HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104429
ext,AR | ENCUENTRO SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104430
ext,AR | CANAL 26 NOTICIAS HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104431
ext,AR-| CANAL 26 NOTICIAS SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104432
ext,AR-| ARGENTINISIMA HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104433
ext,AR-| ARGENTINISIMA SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104434
ext,AR-| CINE AR HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104435
ext,AR-| CINE AR SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104436
ext,AR-| EL GARAGE TV HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104437
ext,AR-| EL GARAGE SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104438
ext,AR | NOTICIAS NT HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104439
ext,AR | NOTICIAS NT SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104440
ext,AR | MAS CHIC HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104441
ext,AR | MAS CHIC SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104442
ext,AR | LN +,http://streamgo.vip:8008/DOCA20/DOCA2020/104443

group,Paraguay ⭐
ext,PY| SNT HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104569
ext,PY| SNT SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104570
ext,PY| C9N NOTICIAS HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104571
ext,PY| C9N NOTICIAS SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104572
ext,PY|  NOTICIAS PY HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104573
ext,PY| NOTICIAS PY SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104574
ext,PY| RPC HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104575
ext,PY| RPC SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104576
ext,PY| LA TELE HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104577
ext,PY| LA TELE SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104578
ext,PY| UNICANAL HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104579
ext,PY| UNICANAL SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104580
ext,PY| FARRA PLAY HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104581
ext,PY| FARRA PLAY SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104582
ext,PY| GEN TV HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104583
ext,PY| GEN TV SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104584
ext,PY | ABC HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104585
ext,PY| CANAL 8 VISION TV HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104586
ext,PY| CANAL 8 VISION TV SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104587
ext,PY| MI TV HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104588
ext,PY| MI TV SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104589
ext,PY| TVS ENCARNACION HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104590
ext,PY| TVS ENCARNACION SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104591
ext,PY | Radio Centenario TV,http://streamgo.vip:8008/DOCA20/DOCA2020/104592
ext,PY| TELEFUTURO HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104593
ext,PY| TELEFUTURO SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104594
ext,PY| TIGO SPORTS Plus HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104595
ext,PY| TIGO SPORTS SD,http://streamgo.vip:8008/DOCA20/DOCA2020/104596
ext,PY| TIGO SPORTS HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104597

group,Costa Rica ⭐
ext,REPRETEL 6 | CR,http://streamgo.vip:8008/DOCA20/DOCA2020/104599
ext,CANAL 14 ZONA SUR | CR,http://streamgo.vip:8008/DOCA20/DOCA2020/104600
ext,FUTV,http://streamgo.vip:8008/DOCA20/DOCA2020/104601
ext,FUTV | CR,http://streamgo.vip:8008/DOCA20/DOCA2020/104602
ext,CR: Canal 13 HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104603
ext,Ticavision canal 54,http://streamgo.vip:8008/DOCA20/DOCA2020/104604
ext,CR | Canal 13,http://streamgo.vip:8008/DOCA20/DOCA2020/104605
ext,CR | Canal 14 Tv Sur,http://streamgo.vip:8008/DOCA20/DOCA2020/104606
ext,CR | Canal 15 UCR,http://streamgo.vip:8008/DOCA20/DOCA2020/104607
ext,CR | Extrema TV HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104608
ext,CR | Repretel 11,http://streamgo.vip:8008/DOCA20/DOCA2020/104609
ext,CR | Repretel Canal 6,http://streamgo.vip:8008/DOCA20/DOCA2020/104610
ext,CR | TD+,http://streamgo.vip:8008/DOCA20/DOCA2020/104611
ext,CR | Telesur,http://streamgo.vip:8008/DOCA20/DOCA2020/104612
ext,CR | Teletica,http://streamgo.vip:8008/DOCA20/DOCA2020/104613
ext,CR | TIGO SPORT COSTA RICA HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104614
ext,CR | Tigo Sports HD,http://streamgo.vip:8008/DOCA20/DOCA2020/104615

group,Cuba ⭐
ext,CUBA : CUBAVISION,http://streamgo.vip:8008/DOCA20/DOCA2020/104667
ext,CUBA: CUBAMAX,http://streamgo.vip:8008/DOCA20/DOCA2020/104668
ext,CUBA: TELE REVELDE,http://streamgo.vip:8008/DOCA20/DOCA2020/104669
ext,CUBA : CUBAVISION INTERNACIONAL,http://streamgo.vip:8008/DOCA20/DOCA2020/104670
ext,CUBA: MULTIVISION,http://streamgo.vip:8008/DOCA20/DOCA2020/104671
ext,CUBA: AMRERICA TV,http://streamgo.vip:8008/DOCA20/DOCA2020/104672
Cubavision.es,Cubavision,http://streamgo.vip:8008/DOCA20/DOCA2020/104673

group,Guatemala ⭐
ext,CANAL 11 | GT,http://streamgo.vip:8008/DOCA20/DOCA2020/104889
ext,CANAL 13 | GT,http://streamgo.vip:8008/DOCA20/DOCA2020/104890
ext,CANAL 7 | GT,http://streamgo.vip:8008/DOCA20/DOCA2020/104891
ext,CANAL ANTIGUA | GT,http://streamgo.vip:8008/DOCA20/DOCA2020/104892
ext,GT | TIGO SPORTS,http://streamgo.vip:8008/DOCA20/DOCA2020/104893
ext,GT | TIGO SPORTS +,http://streamgo.vip:8008/DOCA20/DOCA2020/104894
ext,TN 23,http://streamgo.vip:8008/DOCA20/DOCA2020/104895
ext,GUATEMALA HQ | TRECEVISION,http://streamgo.vip:8008/DOCA20/DOCA2020/104896
ext,GUATEMALA HQ | CANAL 3,http://streamgo.vip:8008/DOCA20/DOCA2020/104897
ext,GUATEMALA HQ | AZTECA GUATEMALA,http://streamgo.vip:8008/DOCA20/DOCA2020/104898
ext,GUATEMALA HQ | GUATEVISION,http://streamgo.vip:8008/DOCA20/DOCA2020/104899
ext,GUATEMALA HQ | CANAL 13,http://streamgo.vip:8008/DOCA20/DOCA2020/104900


group, Nicaragua ⭐
ext,CANAL 10,http://streamgo.vip:8008/DOCA20/DOCA2020/109636
Canal13.cl,CANAL 13,http://streamgo.vip:8008/DOCA20/DOCA2020/109637
ext,CANAL 23,http://streamgo.vip:8008/DOCA20/DOCA2020/109638
ext,CANAL 6,http://streamgo.vip:8008/DOCA20/DOCA2020/109639
ext,CANAL 8,http://streamgo.vip:8008/DOCA20/DOCA2020/109640
ext,CANAL 4,http://streamgo.vip:8008/DOCA20/DOCA2020/109641
Canal2.mx,CANAL 2,http://streamgo.vip:8008/DOCA20/DOCA2020/109642
ext,CANAL 12,http://streamgo.vip:8008/DOCA20/DOCA2020/109643
Canal11.pt,CANAL 11,http://streamgo.vip:8008/DOCA20/DOCA2020/109644
CANAL9.dk,CANAL 9,http://streamgo.vip:8008/DOCA20/DOCA2020/109645


group,Chile Deporte ⚽
ext,TNT SPORTS 1 CHILE | HD,http://streamgo.vip:8008/DOCA20/DOCA2020/120423
ext,TNT SPORTS 1 CHILE | SD,http://streamgo.vip:8008/DOCA20/DOCA2020/120424
ext,TNT SPORTS 2 OP1 (CHI),http://streamgo.vip:8008/DOCA20/DOCA2020/120425
